#####################################################################
# Alchemist log file - simulation started at: 2024-10-09T04:52+0000 #
#####################################################################
#
# seed = 3.0, areas = 9, sparsity = 0.5, lossThreshold = 80.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 1.90 1.90 1.90 0.00 1.3372030854225159 1.3372030854225159 1.3372030854225159 0.0 0.8837209302325582 0.8837209302325582 0.8837209302325582 0.0
1.1 56.0 0.2776241621669428 0.0 1.7939517728240832 1.3473899496926203 0.8430165267011198 0.382 1.93 1.80 0.0444 0.701559841632843 1.7663410902023315 1.320215140070234 0.04361247637528009 0.6484375 0.9418604651162791 0.8513386368355482 0.004305791241617941
2.1 23.0 0.49552602826813125 0.0 0.5052314305739332 0.6786928671745607 0.8910388404392765 0.234 0.679 0.494 0.00851 0.4180009812116623 1.0338440835475922 0.6516204407172544 0.02737711303337555 0.796875 0.9453125 0.8954786129568106 0.001347778583533658
3.1 9.0 0.7059969500994978 0.0 0.28107267540952363 0.5506545807936309 0.9064956126184325 0.162 0.414 0.267 0.00506 0.2310160994529724 0.8455678820610046 0.5269416066418801 0.027353185368446765 0.8359375 0.9883720930232558 0.9107207745016611 0.0014442500382330873
4.1 9.0 0.6286715475129492 0.0 0.2741292714967235 0.5319486852781271 0.9084717287539475 0.168 0.422 0.261 0.00474 0.21441368013620377 0.7927855551242828 0.5092528260179929 0.024189473297525455 0.828125 0.9883720930232558 0.9128815406976745 0.0014148368743546887
5.1 9.0 0.8190533187654283 0.0 0.21279329026823118 0.49150539677084226 0.9149787808641976 0.0988 0.363 0.201 0.00362 0.16567480936646461 0.8060675263404846 0.47074822622484397 0.02382367907837873 0.8359375 0.9883720930232558 0.9188058035714286 0.001316273968935802
6.1 9.0 0.996931579745846 0.0 0.1795181354439296 0.4760552062020626 0.915221028926213 0.0812 0.326 0.169 0.00324 0.19101228564977646 0.8459689915180206 0.45784532238862347 0.023684701613700156 0.8359375 0.9883720930232558 0.9187376713039868 0.0012213663115651485
7.1 9.0 0.5742311711296623 0.0 0.2145138098896623 0.46855560993706735 0.9182625879270745 0.0910 0.355 0.205 0.00327 0.17811182141304016 0.7689403593540192 0.45201621124786995 0.02295456471832721 0.8359375 0.9883720930232558 0.9209049262873754 0.0012858948498556343
8.1 9.0 0.7834363029694851 0.0 0.17831191279299735 0.4563785166606123 0.9197760775552682 0.0880 0.318 0.170 0.00266 0.18585871160030365 0.8057509958744049 0.43978609138035346 0.022217480732990253 0.8515625 0.9883720930232558 0.9231987126245847 0.0011815087229056773
9.1 9.0 0.9665805117951499 0.0 0.15477220530486607 0.45179439644202785 0.9227385694803331 0.0673 0.291 0.147 0.00256 0.18105288594961166 0.8252630829811096 0.4364985921420157 0.023743082967099354 0.8515625 0.9883720930232558 0.925914270141196 0.0010960328283632335
10.1 9.0 0.5509695368416515 0.0 0.1854763176235171 0.4339330275945457 0.9251761906043642 0.0862 0.315 0.178 0.00258 0.13157444819808006 0.7985638082027435 0.41969516667138257 0.022674529331232776 0.84375 0.9883720930232558 0.9278706395348837 0.0011547639099298134
