#####################################################################
# Alchemist log file - simulation started at: 2024-10-09T12:00+0000 #
#####################################################################
#
# seed = 4.0, areas = 3, sparsity = 0.5, lossThreshold = 80.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.44 2.44 2.44 0.00 3.7766497135162354 3.7766497135162354 3.7766497135162354 0.0 0.37398373983739835 0.37398373983739835 0.37398373983739835 0.0
1.1 56.0 0.4743019406580263 0.0 2.4068938659986965 4.335002886752288 0.5588541362032325 1.29 2.51 2.42 0.0253 2.8268043994903564 5.231787323951721 4.2290624763284415 0.40511326017686544 0.3008130081300813 0.7266187050359713 0.5458006417165919 0.009594282351083817
2.1 14.0 0.8103724271059036 0.0 1.3507877002401207 2.854390036314726 0.6864073781625107 1.00 1.59 1.37 0.0163 2.2166085243225098 3.5112905502319336 2.813337835882391 0.08631116849020358 0.5609756097560976 0.7553956834532374 0.6806352827145948 0.0020964576816012662
3.1 8.0 1.1434014778998163 0.0 0.9065844321244017 2.3071205326252513 0.7204561554008825 0.741 1.13 0.928 0.0145 1.8644623756408691 3.0021778345108032 2.279471079153674 0.06272730531140586 0.5853658536585366 0.8057553956834532 0.7158691165534471 0.0018114963613262637
4.1 7.0 1.0376006733212206 0.0 0.9800369616735866 2.297254169152843 0.7243530378948874 0.637 1.49 1.01 0.0518 1.6556883454322815 2.963961660861969 2.27686249677624 0.09219615127781099 0.5772357723577236 0.7985611510791367 0.7192093015483084 0.001988127021582126
5.1 5.0 1.304210272514158 0.0 0.7384669376037049 2.0461212065484786 0.7402216438231529 0.535 1.06 0.757 0.0186 1.5872288942337036 2.832903027534485 2.023491732776165 0.06967591615869462 0.6016260162601627 0.8489208633093526 0.7346015173923579 0.0025177109462582543
6.1 3.0 1.566732876830631 0.0 0.6143709031899495 1.9354501403868198 0.7447671943745816 0.459 0.846 0.628 0.0101 1.51347416639328 2.8081730008125305 1.9104793965816498 0.07872848785010754 0.6341463414634146 0.8201438848920863 0.739610750424051 0.001980544587626863
7.1 4.0 0.8982174193693532 0.0 0.7455112998960195 1.9613076055215464 0.7517169191476087 0.620 0.950 0.764 0.0123 1.6088804602622986 2.668525516986847 1.9383960249168533 0.053962311931017116 0.6178861788617886 0.8489208633093526 0.7472614243100293 0.0018136455486450962
8.1 6.0 1.1980404158433278 0.0 0.617338157698719 1.859721816662285 0.7548274388619185 0.490 0.797 0.632 0.00809 1.4585124850273132 2.684881567955017 1.836039116340024 0.06612072039053282 0.6422764227642277 0.8489208633093526 0.7499759774062283 0.0018972788493718602
9.1 3.0 1.4826352095438375 0.0 0.5362174157829335 1.8112890540311735 0.7609087526726586 0.422 0.756 0.549 0.00652 1.365419864654541 2.692627251148224 1.7859660307211536 0.07780258388184241 0.6666666666666666 0.841726618705036 0.7562531856048262 0.0018610283453379677
10.1 3.0 0.9866324046419725 0.0 0.6647270612884313 1.8379986149569352 0.7649039305141252 0.513 0.875 0.677 0.00877 1.4012537002563477 2.5630622506141663 1.8089595160314016 0.06711565877186622 0.6585365853658537 0.8633093525179856 0.7619037174441632 0.0016415580540194458
11.1 3.0 1.2625243920418951 0.0 0.5648868881700629 1.7817106048266094 0.7673369434533673 0.432 0.733 0.575 0.00630 1.3317893743515015 2.603895425796509 1.7536906898021698 0.07583813373036444 0.6585365853658537 0.8633093525179856 0.7637471904009894 0.0018050071780033857
12.1 5.0 1.5177851095795631 0.0 0.49745698605181166 1.7548469834857519 0.7675587172538392 0.373 0.638 0.506 0.00490 1.2748163342475891 2.621706485748291 1.7271048703363963 0.08608740135138546 0.6747967479674797 0.8561151079136691 0.7636469221835076 0.001838291582101668
13.1 4.0 0.865362900826666 0.0 0.6041728044187443 1.723006196733978 0.7765576156960609 0.404 0.786 0.617 0.00893 1.253478765487671 2.493557631969452 1.6997187031166894 0.06419442596384534 0.6666666666666666 0.8705035971223022 0.7719409837983272 0.0018654734521752635
14.1 4.0 1.1473945503433545 0.0 0.5204742251274487 1.7019708652256265 0.7781323721510596 0.381 0.673 0.531 0.00588 1.205593466758728 2.5438639521598816 1.6780916236873185 0.07678760250838425 0.6585365853658537 0.8848920863309353 0.7733875617276214 0.002058838701873296
15.1 4.0 1.3642142092188199 0.0 0.46348095025556785 1.6984264939609501 0.7816555698530606 0.332 0.594 0.473 0.00484 1.180774748325348 2.575326681137085 1.6733552462288313 0.08844239726545654 0.6585365853658537 0.8848920863309353 0.7765042321543462 0.0021409566092140298
