#####################################################################
# Alchemist log file - simulation started at: 2024-10-09T06:46+0000 #
#####################################################################
#
# seed = 3.0, areas = 3, sparsity = 0.5, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.42 2.42 2.42 0.00 3.499559760093689 3.499559760093689 3.499559760093689 0.0 0.5203252032520326 0.5203252032520326 0.5203252032520326 0.0
1.1 56.0 0.45864318187038106 0.0 2.387488701173828 4.343943890184164 0.5772471453731324 1.23 2.49 2.39 0.0267 2.965389907360077 5.355938911437988 4.213112351085458 0.5762610609831303 0.45528455284552843 0.7050359712230215 0.5718254664561034 0.004271291852699683
2.1 56.0 0.7682735208008024 0.0 1.3404776613159035 2.8767765172653728 0.6971081671248367 1.06 1.52 1.35 0.0116 1.9715017080307007 3.8337806463241577 2.8161333203315735 0.17401305950770452 0.5853658536585366 0.7985611510791367 0.6918883012057253 0.0025000767990406006
3.1 29.0 1.0955602932307456 0.0 0.8975909389210521 2.3235437307092877 0.7243510069992786 0.727 1.07 0.911 0.00962 1.8702054619789124 3.276015520095825 2.2805661165288518 0.13057616021854573 0.6260162601626016 0.8273381294964028 0.7190139874163387 0.0022153322082135215
4.1 20.0 1.2858654633164406 0.0 0.7675939605968002 2.1073008589446545 0.7385749936636058 0.573 1.09 0.777 0.0126 1.5945250988006592 2.9466949105262756 2.068544474031244 0.1294147148825989 0.6178861788617886 0.841726618705036 0.733383676334194 0.002339597871373546
5.1 23.0 1.5514912356932957 0.0 0.6227479786698327 1.9646539665344689 0.7518667992435321 0.472 0.843 0.630 0.00604 1.3997356295585632 2.8493661284446716 1.9263457309986864 0.13309964977895192 0.6690647482014388 0.841726618705036 0.7473898929636779 0.0021161991592960894
6.1 19.0 1.7995439329081113 0.0 0.5344714071446409 1.8907730150967836 0.7557677435287542 0.405 0.692 0.540 0.00393 1.2972675561904907 2.8184199929237366 1.8524753435381822 0.14267297142384808 0.6585365853658537 0.8345323741007195 0.7511207062224785 0.0022838959896355026
7.1 21.0 1.3418244872656133 0.0 0.581612356800448 1.851102045840687 0.7623027594184815 0.426 0.790 0.591 0.00941 1.2969403266906738 2.816694676876068 1.8133764501128877 0.13048688917440798 0.6747967479674797 0.841726618705036 0.7581739486459613 0.001890098080706783
8.1 17.0 1.589088989628686 0.0 0.5012478921907367 1.8123656632378697 0.7662097963905298 0.380 0.684 0.509 0.00582 1.2191486954689026 2.832282066345215 1.773636587762407 0.14594101114097655 0.6747967479674797 0.841726618705036 0.762490704300671 0.0019285981367329948
9.1 19.0 1.826083073599471 0.0 0.44406113283777676 1.7964126985106204 0.7694783197831977 0.340 0.662 0.451 0.00466 1.172869861125946 2.8592443466186523 1.7556669946227754 0.16361326715339916 0.6747967479674797 0.841726618705036 0.7661149825783972 0.0020239706543228354
10.1 16.0 1.5266728628840711 0.0 0.509266874830549 1.7275797666774855 0.7785941978124816 0.356 0.689 0.516 0.00684 1.171305537223816 2.5962412357330322 1.6916116774082184 0.13101045814566137 0.6747967479674797 0.8705035971223022 0.774944852480385 0.0020641944971359592
11.1 15.0 1.7547590103414323 0.0 0.44457236381195897 1.7203555015019243 0.777475174332079 0.322 0.609 0.450 0.00458 1.1389080882072449 2.6162713170051575 1.683704526562776 0.145812779580581 0.6910569105691057 0.8705035971223022 0.7744696229079454 0.0018653351937534968
12.1 13.0 1.9671691871351664 0.0 0.3983566714752535 1.7247733894942536 0.7778878523197701 0.290 0.549 0.402 0.00330 1.1111614108085632 2.658312976360321 1.6868847898606742 0.16162486002568177 0.6910569105691057 0.8561151079136691 0.7748717402384713 0.0017780814494972538
13.1 16.0 1.7495742825170357 0.0 0.468336854138653 1.6701899701729417 0.783743330538821 0.319 0.637 0.475 0.00547 1.100855976343155 2.5217590928077698 1.6317772825381585 0.1462723527449323 0.6829268292682927 0.8705035971223022 0.7808585883906115 0.002032667698295507
14.1 14.0 1.9598211381170485 0.0 0.4102927420409051 1.6792348207285006 0.7860674874734359 0.282 0.555 0.416 0.00374 1.0818936228752136 2.560348927974701 1.639858671597072 0.1593370587671895 0.6829268292682927 0.8776978417266187 0.7829475095881483 0.0019905741728773775
15.1 13.0 2.1556115034553742 0.0 0.366133371523271 1.695078289964133 0.7839281420392141 0.252 0.493 0.371 0.00263 1.0648228526115417 2.642961025238037 1.6542405102934157 0.17750154120846123 0.6829268292682927 0.8705035971223022 0.7807750315427101 0.0020800256867791
16.1 15.0 2.051035246708327 0.0 0.4385901089774928 1.632279337176846 0.7891820689789629 0.263 0.671 0.446 0.00613 1.0498935878276825 2.5575416684150696 1.591991355110492 0.1617063368279753 0.7073170731707317 0.8776978417266187 0.7860526909482867 0.001904280587959113
17.1 11.0 2.2398136171201863 0.0 0.38264645220435883 1.6489530965271924 0.7876832680197303 0.239 0.588 0.389 0.00398 1.0383066833019257 2.642684280872345 1.6073748543858528 0.17384915096003978 0.7073170731707317 0.8848920863309353 0.7847680044118016 0.0016918518827545024
