Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.4788672111826449,2412.5263319015503,0.11438301282051282
1.0,0.3690560876925831,2286.5497262477875,0.1360176282051282
2.0,0.33343727762146225,2207.0483984947205,0.15040064102564102
3.0,0.3107267284037688,2152.1014404296875,0.16021634615384617
4.0,0.29393452928966324,2113.3074762821198,0.17151442307692308
5.0,0.28144475438167105,2090.3232431411743,0.18020833333333333
6.0,0.27338132849166696,2070.806272506714,0.18862179487179487
7.0,0.26486542637787336,2054.305341720581,0.19787660256410255
8.0,0.2574222159235098,2045.6603689193726,0.20252403846153846
9.0,0.2507867904875629,2033.9394299983978,0.21045673076923077
10.0,0.24686193167387113,2020.7492097616196,0.21810897435897436
11.0,0.24238840754157137,2006.0467739105225,0.22792467948717948
12.0,0.2367173047498364,1990.5391100645065,0.23489583333333333
13.0,0.23353900540182118,1972.1742774248123,0.24455128205128204
14.0,0.22911251262524593,1948.2637604475021,0.251161858974359
15.0,0.22572703060298197,1934.2647696733475,0.2546875
16.0,0.2210418998049135,1911.3511989116669,0.26161858974358976
17.0,0.2178641737842582,1891.5832974910736,0.2681490384615385
18.0,0.21463587103140722,1884.6278573274612,0.26971153846153845
19.0,0.2112030279218222,1858.8826814889908,0.27740384615384617
20.0,0.20859071405470214,1838.460867524147,0.28521634615384617
21.0,0.20489079179111525,1818.15132188797,0.2905849358974359
22.0,0.20206003255213464,1798.67387342453,0.2954727564102564
23.0,0.19966074237363532,1781.1617481708527,0.3010016025641026
24.0,0.19684453909370617,1771.147022485733,0.3057692307692308
25.0,0.19474978973852167,1752.0828315019608,0.31061698717948716
26.0,0.19234378507675623,1735.5908126831055,0.31614583333333335
27.0,0.18952457133125272,1719.3166902065277,0.32143429487179487
28.0,0.18727876937334473,1700.523833155632,0.3271233974358974
29.0,0.1855029792654634,1684.891212105751,0.3330128205128205
30.0,0.18302517598139004,1671.394899725914,0.3345352564102564
31.0,0.18054964688201516,1656.6894044876099,0.3405849358974359
32.0,0.178296538794786,1638.9891211986542,0.34607371794871794
33.0,0.17758652207423076,1625.4733500480652,0.3503205128205128
34.0,0.17536902076066294,1614.253481388092,0.35536858974358976
35.0,0.17400110476822378,1602.9101448059082,0.35989583333333336
36.0,0.1717000943011292,1587.641777396202,0.3619791666666667
37.0,0.17052241491030767,1572.19766831398,0.3685496794871795
38.0,0.1678041644735368,1559.067651629448,0.373838141025641
39.0,0.16671174325304594,1556.3311384916306,0.3737580128205128
40.0,0.16532796056197369,1549.1334500312805,0.37536057692307695
41.0,0.16401358905564195,1536.1905207633972,0.3810496794871795
42.0,0.16230313113251005,1527.8141278028488,0.3858974358974359
43.0,0.16166476927326795,1522.5988519191742,0.3877804487179487
44.0,0.16055068529099337,1510.5074998140335,0.3921073717948718
45.0,0.158733902258826,1501.1997933387756,0.3969551282051282
46.0,0.1568220109597639,1494.121418595314,0.4004407051282051
47.0,0.15633980751062715,1489.93439078331,0.4018028846153846
48.0,0.15603089665070194,1488.01154088974,0.4002003205128205
49.0,0.15475977038356187,1475.0312522649765,0.40685096153846156
50.0,0.1529476184528721,1466.295676112175,0.4108974358974359
51.0,0.1522585134025733,1458.133466243744,0.41686698717948717
52.0,0.15167285185845306,1455.8911763429642,0.41654647435897435
53.0,0.15050116990769516,1453.4000566005707,0.41594551282051284
54.0,0.1503128590509245,1446.6756027936935,0.41971153846153847
55.0,0.14889498511419638,1441.6815997362137,0.42243589743589743
56.0,0.14799111435556425,1439.4622067213058,0.4221955128205128
57.0,0.14733318981566243,1431.2205928564072,0.42580128205128204
58.0,0.1464783237053256,1425.720048069954,0.42932692307692305
59.0,0.1453236052133253,1424.0056077241898,0.43125
