Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.70857587505156,2186.7134408950806,0.34967948717948716
1.0,1.2802832551301402,1829.2312852144241,0.5153445512820513
2.0,1.0788940407408498,1584.8359228372574,0.5616185897435897
3.0,0.9581824731684123,1424.3311853408813,0.5747195512820513
4.0,0.8803900927212648,1315.9741262197495,0.5832532051282051
5.0,0.8261765310792549,1242.4662259817123,0.5918269230769231
6.0,0.7892238297194255,1187.9880325198174,0.598798076923077
7.0,0.7616615837346262,1148.1461758613586,0.6060096153846154
8.0,0.7399897833619675,1117.4907283186913,0.6118990384615385
9.0,0.7199519795595073,1093.3542249798775,0.6155448717948718
10.0,0.7052785285919798,1073.482302904129,0.6197516025641026
11.0,0.691261181771688,1055.866594016552,0.6241586538461539
12.0,0.6805163384202289,1041.090852379799,0.6276041666666666
13.0,0.6707400933579484,1026.8275151848793,0.6314102564102564
14.0,0.6593304973882058,1014.8289451003075,0.634775641025641
15.0,0.6513922025593064,1004.0763255953789,0.6377804487179487
16.0,0.6418896530478446,993.3996832966805,0.6410256410256411
17.0,0.635225459385997,983.9658982753754,0.6444711538461538
18.0,0.625775796945586,973.3706580996513,0.6479967948717948
19.0,0.61817604207546,964.6799218058586,0.6514022435897436
20.0,0.6099741180386321,955.573285639286,0.653125
21.0,0.6027450143704827,946.9382941126823,0.6559294871794872
22.0,0.5951437626274027,937.8533313274384,0.658974358974359
23.0,0.5888653013635601,929.1329400539398,0.6620192307692307
24.0,0.5823926464334608,920.3186021447182,0.6661057692307693
25.0,0.5747694611745752,911.9007151126862,0.6684695512820513
26.0,0.5685272681114957,903.2671321034431,0.6728365384615385
27.0,0.5627430668691887,897.6045536398888,0.674198717948718
28.0,0.5559481176341424,888.6609514951706,0.6766826923076923
29.0,0.549755866312672,880.0302016735077,0.6803685897435897
30.0,0.5425163031024499,872.851402759552,0.6838942307692307
31.0,0.5364065995942319,865.738467335701,0.6869391025641025
32.0,0.5311569738120417,858.2989372611046,0.6892227564102564
33.0,0.5241688887684673,850.9346304535866,0.6917467948717949
34.0,0.5189624828050724,845.0942222476006,0.6944310897435897
35.0,0.5140355683636435,837.9342622160912,0.6975961538461538
36.0,0.5080821405864182,830.197839975357,0.7010016025641026
37.0,0.503055359326014,823.0287145376205,0.7030048076923077
38.0,0.4978938829497212,816.6540667414665,0.7059294871794872
39.0,0.49245121716951984,809.958369076252,0.7080528846153846
40.0,0.489309611090578,805.0047665834427,0.7102163461538461
41.0,0.4832541714954861,799.3267856240273,0.7119791666666667
42.0,0.47911870431221354,794.4128585457802,0.713661858974359
43.0,0.47579376061426587,786.7948485016823,0.7171073717948718
44.0,0.47203257661252984,781.484233558178,0.7195913461538461
45.0,0.46666311238532826,775.4599369764328,0.7217548076923077
46.0,0.463116763250154,769.78404712677,0.7237179487179487
47.0,0.4578855434398793,765.1527149677277,0.7253205128205128
48.0,0.4537920004119813,759.7652005553246,0.7276041666666667
49.0,0.45022703620241844,754.013480246067,0.7299278846153846
50.0,0.44670992075772054,749.3913661837578,0.7314102564102564
51.0,0.4443117939006649,746.8034237623215,0.733573717948718
52.0,0.4393478911818486,740.1086568236351,0.7358173076923077
53.0,0.43520363208061275,735.8004081845284,0.7374198717948718
54.0,0.43273554396839925,731.389431476593,0.7379807692307693
55.0,0.4278591815469286,726.5470535159111,0.7401041666666667
56.0,0.4260872843368569,723.134596824646,0.7414663461538461
57.0,0.4232904384148671,718.4431512355804,0.7422676282051283
58.0,0.42066999180962017,715.5234106183052,0.7440304487179488
59.0,0.4167713263182975,712.757771551609,0.7458333333333333
